id,cid,tp,onstop,offstop,ridestart,ridedis,ridetime,fair,transcount,onx,ony,offx,offy,hours,hoursend,dis,function1,function2,EXTRA
3,9.00E+15,1,STN Ang Mo Kio,STN Boon Lay,74486,31.9,54.6,1.85,0,372000.18,151458.95,355986.45,148020.35,6.90,6.90,4,872,773,11.05
6,8.89E+15,1,STN Tampines,STN City Hall,66897,15.7,28.62,1.49,0,382656.24,149583.11,372304.44,142970.99,6.19,6.20,2,863,764,11.05
8,9.00E+15,1,STN Bugis,STN Orchard,45349,3.8,8.57,0.81,0,372752.11,143794.74,370110.15,144193.88,4.20,4.20,0,841,742,11.05
10,2.00E+15,3,STN Raffles Place,STN Commonwealth,68114,7.5,27.18,0.86,0,372219.63,141941.89,366297,144004.03,6.31,6.31,1,464,164,11.05
12,9.00E+15,1,STN Lakeside,STN Tampines,64399,34.8,62.6,1.88,0,357675.78,148616.17,382656.24,149583.11,5.96,5.97,4,863,764,11.05
16,9.00E+15,1,STN Chinese Garden,STN Paya Lebar,30294,23.5,48.6,1.75,0,358994.87,148409.66,376841.28,145716.07,2.81,2.81,3,831,731,11.05
19,2.00E+15,1,STN Yew Tee,STN Woodlands,29583,7.3,13.17,1.15,0,360640.21,154510.6,364998.09,158878.26,2.74,2.74,0,827,727,11.05
21,2.00E+15,2,STN Pioneer,STN Boon Lay,73310,1,7.5,0.36,0,355045.4,147858.31,355986.45,148020.35,6.79,6.79,0,667,468,11.05
22,8.99E+15,1,STN Pioneer,STN Bugis,30746,22.8,48.82,1.73,0,355045.4,147858.31,372752.11,143794.74,2.85,2.85,3,831,732,11.05
26,2.00E+15,1,STN Woodlands,STN Yishun,53081,7.3,18.85,1.15,0,364998.09,158878.26,370416.01,158031.8,4.91,4.92,0,849,749,11.05
29,9.00E+15,1,STN Joo Koon,STN Boon Lay,65011,3.6,14.13,0.81,0,352975.13,146794.72,355986.45,148020.35,6.02,6.02,0,860,760,11.05
30,9.00E+15,1,STN Orchard,STN Lakeside,52072,21.1,43.43,1.67,0,370110.15,144193.88,357675.78,148616.17,4.82,4.83,2,850,750,11.05
31,9.00E+15,1,STN Raffles Place,STN Boon Lay,68243,19.8,52.63,1.64,0,372219.63,141941.89,355986.45,148020.35,6.32,6.32,2,865,765,11.05
